prompt,label
"Explain data warehousing using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
"Explain climate change as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Create a cheat sheet for project management. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
"Provide a beginner-friendly introduction to supply chain management. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
Brief on electric vehicles,0
"Explain the concept of graph theory using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
You are an expert professor. Explain 5G technology to a beginner student step-by-step with practical examples and a summary at the end.,1
"Write a detailed explanation of behavior driven development covering: 1) Definition, 2) Key concepts, 3) Real-world applications, 4) Advantages and disadvantages. Use clear headings.",1
"Explain ETL processes with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
serverless computing,0
"Explain the concept of recommendation systems using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
MODEL DEPLOYMENT OVERVIEW,0
"Provide a critical analysis of calculus applications. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Explain time series analysis with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Design a lesson plan for teaching project management to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
"You are mentoring a junior developer. Explain serverless computing with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
Tell me about digital marketing,0
"Write about decentralized finance from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
"You are a technical writer. Create documentation for 5G technology including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
Help me with space exploration,0
"Explain transfer learning using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
big data explain,0
Something about automation testing,0
Explain agile methodology in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Explain recommendation systems,0
write about digital forensics,0
Give me renewable energy details,0
Explain automation testing in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
"You are a technical writer. Create documentation for information security including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
"You are a senior software engineer. Explain statistical analysis with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
what about probability theory,0
Info quantum computing,0
Explain model deployment in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
EXPLAIN TRANSFER LEARNING,0
Talk about software architecture,0
continuous integration?,0
"Explain the concept of programming paradigms using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
"Provide a critical analysis of time series analysis. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Write a blog post about web development for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
Info digital forensics,0
Tell me about embedded systems,0
give me information security details,0
Something about model deployment,0
"You are preparing exam notes. Explain CI CD pipelines covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
Explain mobile app development,0
blockchain technology explain,0
"Explain 5G technology in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
Explain Windows server in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Talk about business intelligence,0
